race,data,2016,2017,2018,2019,2020,2021,2022,2023,2024
African American,app redacted calc along Characteristics,"2,284","2,124","2,332","2,310","2,443","2,625","2,429","2,523","2,671"
African American,app redacted percent calc along Characteristics,6%,6%,6%,6%,6%,6%,6%,6%,6%
American Indian,app redacted calc along Characteristics,306,268,268,250,291,235,296,373,358
American Indian,app redacted percent calc along Characteristics,1%,1%,1%,1%,1%,1%,1%,1%,1%
Asian,app redacted calc along Characteristics,"9,499","9,229","9,632","9,926","10,690","12,070","11,147","11,129","12,334"
Asian,app redacted percent calc along Characteristics,24%,24%,23%,24%,25%,26%,27%,28%,28%
Hispanic/Latino(a),app redacted calc along Characteristics,"9,586","9,536","10,938","10,906","11,788","12,855","11,053","10,670","11,997"
Hispanic/Latino(a),app redacted percent calc along Characteristics,24%,25%,26%,26%,27%,28%,27%,27%,27%
Pacific Islander,app redacted calc along Characteristics,119,151,146,122,147,150,136,104,130
Pacific Islander,app redacted percent calc along Characteristics,0%,0%,0%,0%,0%,0%,0%,0%,0%
White,app redacted calc along Characteristics,"11,528","10,622","11,243","11,211","10,782","12,116","10,911","10,440","11,018"
White,app redacted percent calc along Characteristics,29%,28%,27%,27%,25%,26%,27%,26%,25%
Unknown,app redacted calc along Characteristics,"1,138","1,080","1,090","1,019","1,510",861,776,927,"1,059"
Unknown,app redacted percent calc along Characteristics,3%,3%,3%,2%,3%,2%,2%,2%,2%
International,app redacted calc along Characteristics,"5,546","5,463","5,700","5,524","5,585","5,401","3,940","3,629","4,077"
International,app redacted percent calc along Characteristics,14%,14%,14%,13%,13%,12%,10%,9%,9%
